Unnamed: 0,price,title,stars,vote,kategori_penyakit
88,14154,BeautyBio The Pout Sparkling Rosé Volumizing Lip Serum,4.0,77,Unknown_Normal
89,6066,Patchology MoodPatch Chill Mode 5Pack Eye Gels,4.8,6,Acne
90,60662,Sulwhasoo Lunar New Year First Care Activating Serum Limited Edition,0.0,0,Infestations_Bites; Unknown_Normal
91,31544,Dr Dennis Gross Skincare C Collagen Brighten  and  Firm Vitamin C Serum,4.5,120,Vitiligo; Unknown_Normal
92,9706,54 Thrones Kenyan Hibiscus  Moroccan Rose Beauty Butter,4.3,7,Unknown_Normal
93,12941,Skin Gym Jade Gua Sha Facial Tool,3.0,3,Unknown_Normal
94,17794,Kiehls Since 1851 Dermatologist Solutions Centella Cica Cream,3.5,38,Unknown_Normal
95,11323,Fresh Vitamin Nectar Glow Juice Antioxidant Face Serum,4.7,93,Unknown_Normal
96,35588,Dr Dennis Gross Skincare Alpha Beta Peel Original Formula  30 Applications,4.8,204,Unknown_Normal
97,90992,Vintners Daughter Active Treatment Essence,3.9,17,Acne
98,44485,Dior Capture Totale Firming  and  WrinkleCorrecting Cream,4.7,40,Unknown_Normal
99,40037,DERMAFLASH DERMAPORE Ultrasonic Pore Extractor  and  Serum Infuser,4.0,62,Unknown_Normal
100,80478,FOREO LUNA 3 Combination Skin Facial Cleansing  and  Firming Massage Device,4.8,295,Unknown_Normal
101,19715,Erno Laszlo Merry  and  BrightEyed Set USD 93 Value,0.0,0,Unknown_Normal
102,22243,TanLuxe Super Glow SPF 30 Tan Serum,5.0,3,Sun_Sunlight_Damage; Unknown_Normal
103,200183,ZIIP Beauty Electrical Facial Device,3.9,7,Unknown_Normal
104,60257,NuFACE FIX Line Smoothing Device Kit 149 Value Nordstrom Exclusive,3.9,248,Unknown_Normal
105,24265,Dr Loretta Tightening Eye Gel,4.1,14,Acne
106,38419,Dior Capture Youth Plump Filler AgeDelay Plumping Serum,4.8,4,Benign_tumors; Unknown_Normal
107,6066,Patchology FlashPatch Hydrating 5Minute Lip Gels,3.4,14,Acne; Eczema
108,15772,CAUDALÍE Instant Detox Mask,4.3,124,Unknown_Normal
109,10110,Supergoop Glow Stick SPF 50 Sunscreen,4.3,19,Sun_Sunlight_Damage
110,40037,Trish McEvoy Beauty Booster Eye Serum,4.4,54,Unknown_Normal
111,12941,Kiehls Since 1851 Ultra Facial Oil Free Gel Cream,0.0,0,Acne; Unknown_Normal
112,19412,Lancôme Hydra Zen AntiStress Moisturizing Cream,4.7,91,Unknown_Normal
113,16985,Trish McEvoy The FastTrack Dynamic Duo Nordstrom Exclusive,3.5,2,Unknown_Normal
114,93034,Dr Barbara Sturm Face Cream Rich for Women,4.5,47,Unknown_Normal
115,22652,Fresh Mini Loves Mini Mask Set Nordstrom Exclusive USD 84 Value,4.7,44,Unknown_Normal
116,80495,FOREO LUNA 3 Sensitive Skin Facial Cleansing  and  Firming Massage Device,4.9,292,Rosacea; Vasculitis
117,19416,bareMinerals Ageless Genius Firming  and  Wrinkle Smoothing Neck Cream,4.7,33,Acne; Unknown_Normal
118,24270,Kiehls Since 1851 Dermatologist Solutions Nightly Refining MicroPeel Concentrate,4.3,112,Unknown_Normal
119,30337,Tata Harper Skincare Daily Essentials Set USD 117 Value,4.3,43,Unknown_Normal
120,21034,Lancôme Bienfait MultiVital Sunscreen Lotion Broad Spectrum SPF 30,4.8,176,Sun_Sunlight_Damage; Lupus; Unknown_Normal
121,15371,Supergoop Smooth  and  Poreless 100 Mineral Matte Screen Sunscreen SPF 40,4.2,40,Sun_Sunlight_Damage
122,72405,PMD Pro Clean Rose Quartz Facial Cleansing Device,4.6,16,Unknown_Normal
123,25888,Elemis ProCollagen Rose Cleansing Balm Limited Edition,4.9,402,Infestations_Bites
124,15775,Colorescience Sunforgettable Total Protection Face Shield SPF 50 Sunscreen,4.4,22,Sun_Sunlight_Damage; Unknown_Normal
125,18607,COOLA Suncare Full Spectrum 360 Sun Silk Drops SPF 30,4.6,1054,Sun_Sunlight_Damage
126,52584,Trish McEvoy Beauty Booster Serum,4.6,61,Unknown_Normal
127,6067,Youth to the People Mini Superberry Hydrate  Glow Dream Mask,5.0,1,Unknown_Normal
128,21438,Aesop Departure Travel Kit,0.0,0,Unknown_Normal
129,16180,Kiehls Since 1851 Midnight Recovery Eye Cream,4.2,563,Bullous; Unknown_Normal
130,14562,Sunday Riley Jewel Box Travel Size Skin Care Set USD 64 Value,5.0,1,Sun_Sunlight_Damage
131,52180,Perricone MD High Potency Growth Factor Firming  and  Lifting Serum,4.4,340,Unknown_Normal
132,20629,Skin Gym Goldie Face Roller,1.0,1,Unknown_Normal
133,15775,Pause Hot Flash Cooling Mist,5.0,8,Unknown_Normal
134,9708,54 Thrones Ugandan Vanilla  Ethiopian Honey Beauty Butter,3.4,10,Unknown_Normal
135,10517,Laura Mercier Lip Balm,2.4,37,Unknown_Normal
136,26292,Sunday Riley Autocorrect Brightening and Depuffing Eye Contour Cream,4.4,168,Vitiligo; Sun_Sunlight_Damage; Seborrh_Keratoses; Unknown_Normal
137,27101,Lancôme Génifique Eye Cream,4.5,498,Unknown_Normal
138,13348,Lancôme Tonique Confort ReHydrating Comforting Toner Duo USD 38 Value,4.5,2,Eczema; Vitiligo
139,9708,First Aid Beauty Ultra Repair Instant Oatmeal Mask,4.9,97,Unknown_Normal
140,31955,Elemis ProCollagen Rose Facial Oil,4.6,911,Unknown_Normal
141,15371,Sulwhasoo Gentle Cleansing Foam,4.6,7,Eczema; Unknown_Normal
142,12135,St Tropez Purity Bronzing Water Face Mist,4.3,44,Unknown_Normal
143,19416,Herbivore Botanicals Blue Tansy AHA  BHA Resurfacing Clarity Mask,4.2,50,Actinic_Keratosis
144,97079,Sulwhasoo Concentrated Ginseng Renewing Cream Light,5.0,2,Actinic_Keratosis; Unknown_Normal
145,16180,Rosebud Woman Soothe Calming Cream,0.0,0,Rosacea; Bullous; Vasculitis; Unknown_Normal
146,26292,Laura Mercier The Perfect Cream  and  Eye Cream Set USD 126 Value,3.0,4,Unknown_Normal
147,91012,Trish McEvoy Power of Skincare Collection Carpe Diem Volume II Nordstrom Exclusive 637 Value,4.5,11,Unknown_Normal
148,11326,KYLIE SKIN Vitamin C Serum,4.4,1503,Unknown_Normal
149,26292,GLAMGLOW SUPERSERUM 6Acid Refining Treatment Serum,5.0,1,Acne; Unknown_Normal
150,10112,Lancôme Exfoliating Rose Sugar Scrub,4.5,122,Seborrh_Keratoses
151,11326,sara happ The Lip Slip One Luxe Balm,4.4,96,Unknown_Normal
152,15775,Herbivore Botanicals Jasmine Green Tea Balancing Toner,4.2,11,Vitiligo
153,14562,ARCONA Tea Tree Mask,4.7,23,Unknown_Normal
154,19820,IT Cosmetics Rosy Tone Confidence in a Cream,4.6,637,Vitiligo; Unknown_Normal
155,6067,Patchology Moodpatch Eye Gel Mask,5.0,2,Acne
156,4045,Kiehls Since 1851 Lip Balm 1,4.2,707,Unknown_Normal
157,69573,Lancôme Full Size Advanced Génifique Youth Activating Concentrate Serum Duo USD 210 Value,0.0,0,Unknown_Normal
158,15775,BeautyStat Travel Size Universal Essentials Set USD 60 Value,0.0,0,Unknown_Normal
159,29124,Murad Rapid Dark Spot Correcting Serum,0.0,0,Acne; Moles; Unknown_Normal
160,10517,Fresh Sugar Dream Lip Treatment Advanced Therapy,4.4,65,Acne
161,4854,Herbivore Botanicals Pink Clay Bar Soap,4.3,22,Unknown_Normal
162,44495,Erno Laszlo Firmarine Moisturizer SPF 30,4.7,398,Eczema; Psoriasis; Sun_Sunlight_Damage
163,25079,Odacité Bioactive Rose Gommage Pineapple  Hyaluronic Acid Peel,4.0,4,Unknown_Normal
164,24270,GLAMGLOW YOUTHMUD Glow Stimulating Treatment Mask,3.8,39,Acne
165,12944,TULA Skincare Glow Hour Brightening  and  Neutralizing Eye Balm,3.5,4,Vitiligo; Seborrh_Keratoses
166,27506,Peter Thomas Roth Peel  and  Reveal Bestseller Set USD 117 Value,4.9,12,Unknown_Normal
167,15371,Youth to the People Kombucha  11 AHA Exfoliation Power Toner,4.5,11,Vitiligo; Actinic_Keratosis
168,14157,BeautyBio GloPRO FACE MicroTip Attachment Replacement Head,4.6,39,Unknown_Normal
169,6472,Winky Lux Matcha Balm,4.5,2,Unknown_Normal
170,9707,Fresh Rose PetalSoft Deep Hydration Lip Balm,4.6,753,Unknown_Normal
171,40447,Charlotte Tilbury Lunar New Year Charlottes Magic Cream Limited Edition,0.0,0,Infestations_Bites; Unknown_Normal
172,38425,Dr Dennis Gross Skincare Clinical Grade Resurfacing Liquid Peel,4.4,70,Unknown_Normal
173,15370,Supergoop Superscreen Daily Moisturizer SPF 40,4.1,36,Eczema; Psoriasis; Sun_Sunlight_Damage; Unknown_Normal
174,26291,Sunday Riley CEO Vitamin C Rich Hydration Cream,4.4,29,Sun_Sunlight_Damage; Unknown_Normal
175,27504,Kiehls Since 1851 Healthy Skin Squad Set Nordstrom Exclusive USD 85 Value,4.5,10,Unknown_Normal
176,23864,TULA Skincare The Instant Facial DualPhase Skin Reviving Treatment Pads,4.7,59,Acne
177,35594,TULA Skincare Acne AllStars Acne Clearing Routine Kit USD 118 Value,4.5,307,Acne
178,18201,Fresh Lotus Youth Preserve Eye Cream,4.6,665,Unknown_Normal
179,23459,Herbivore Botanicals Emerald CBD  Adaptogens Deep Moisture Glow Oil,4.4,7,Unknown_Normal
180,12134,Skin Gym IceCoolie Ice Therapy Device,3.4,5,Unknown_Normal
181,113253,ReFa CAXA RAY Facial Roller Tool,4.0,4,Unknown_Normal
182,12943,111SKIN Rose Gold Brightening Facial Treatment Mask,4.1,116,Acne; Vitiligo; Seborrh_Keratoses
183,29122,Dr Dennis Gross Skincare C  Collagen Deep Cream,4.8,110,Unknown_Normal
184,33167,MALINGOETZ Recovery Treatment Oil,4.6,69,Acne; Bullous
185,35998,Chantecaille Jasmine and Lily Healing Mask,4.6,292,Bullous
186,84940,Lancôme Absolue Premium Bx Night Recovery Night Cream,4.7,120,Bullous; Unknown_Normal
187,19819,First Aid Beauty Skin Summit Set USD 112 Value,0.0,0,Unknown_Normal
188,4854,First Aid Beauty Ultra Repair Lip Therapy,4.3,4,Unknown_Normal
189,3236,Mario Badescu Lip Balm,4.8,53,Unknown_Normal
190,9303,Murad Rapid Relief Acne Spot Treatment,4.5,15,Acne
191,20224,GLAMGLOW GLOWSTARTER Mega Illuminating Moisturizer,4.6,101,Eczema; Psoriasis
192,4854,Mario Badescu Silver Powder,4.2,98,Unknown_Normal
193,15370,Augustinus Bader The Lip Balm,3.5,20,Unknown_Normal
194,52582,Sunday Riley Superstars Skin Care Set,4.0,2,Sun_Sunlight_Damage
195,15774,IT Cosmetics Confidence In An Eye Cream,4.5,394,Unknown_Normal
196,80895,Sulwhasoo Timetreasure Invigorating Sleeping Mask,5.0,4,Unknown_Normal
197,182013,Sulwhasoo Timetreasure Invigorating Cream,4.8,4,Unknown_Normal
198,35594,Dr Dennis Gross Skincare Ferulic  Retinol Wrinkle Recovery Overnight Serum,4.6,180,Actinic_Keratosis; Bullous; Unknown_Normal
199,16988,Dr Dennis Gross Skincare Dark Spot Sun Defense Broad Spectrum SPF 50 Sunscreen,4.7,49,Acne; Sun_Sunlight_Damage; Lupus; Moles
200,37212,Trish McEvoy Beauty Booster Cream SPF 30,4.7,67,Sun_Sunlight_Damage; Unknown_Normal
201,62693,Perricone MD Skin  and  Total Body Dietary Supplements,4.5,62,Unknown_Normal
202,12943,Lancôme Mousse Radiance Clarifying SelfFoaming Cleanser,4.8,155,Acne
203,23459,ARCONA Wine Oil Nourishing Face Oil,4.8,40,Unknown_Normal
204,7685,Mario Badescu Buffering Lotion,4.4,80,Unknown_Normal
205,16179,Fresh Rose Hydrating Water Gel Cream,0.0,0,Acne; Eczema; Unknown_Normal
206,31549,Lancôme Rénergie Lift MultiAction Ultra Dark Circle Correcting Eye Cream,4.8,191,Unknown_Normal
207,19819,Elemis Superfood Glow Priming Moisturizer,4.4,241,Eczema; Psoriasis
208,56222,DERMAFLASH ONE Exfoliation  and  Peach Fuzz Removal Device,4.1,249,Unknown_Normal
209,21842,Herbivore Botanicals Prism 12 AHA  3 BHA Exfoliating Glow Serum,4.3,29,Actinic_Keratosis; Seborrh_Keratoses; Unknown_Normal
210,80490,FOREO LUNA 3 Normal Skin Facial Cleansing  and  Firming Massage Device,4.8,291,Unknown_Normal
211,40043,Slip Pure Silk Euro Pillowcase,0.0,0,Unknown_Normal
212,25482,Shiffa Jade Facial Roller,3.3,46,Unknown_Normal
213,15774,NuFACE Gel Primer 24K Gold Complex Brighten,4.3,121,Acne; Vitiligo; Unknown_Normal
214,10921,Lancôme Crème Radiance Clarifying Cleanser,4.7,436,Acne
215,95051,MZ Skin Glow Boost Ampoules,0.0,0,Unknown_Normal
216,22246,Suntegrity Impeccable Skin Moisturizing Face Sunscreen,5.0,5,Sun_Sunlight_Damage; Unknown_Normal
217,12134,First Aid Beauty Ultra Repair Oat  and  Hemp Seed Dry Oil,4.8,217,Unknown_Normal
218,112848,BeautyBio GloPRO Pack N Glo Microneedling Set USD 309 Value,4.4,9,Unknown_Normal
219,19415,NuFACE Hydrating LeaveOn Gel Primer,4.5,81,Acne; Eczema; Unknown_Normal
220,10112,Elemis Superfood Cleanser,4.6,1899,Acne
221,12943,Kiehls Since 1851 Midnight Recovery Botanical Cleansing Oil,4.6,284,Bullous
222,7281,Mario Badescu Super Collagen Mask,4.6,54,Unknown_Normal
223,36403,KYPRIS Antioxidant Dew Quench  and  Glow Facial Serum,4.4,30,Unknown_Normal
224,19415,TULA Skincare Brightening Treatment Drops Triple Vitamin C Serum,0.0,0,Acne; Vitiligo; Seborrh_Keratoses; Unknown_Normal
225,28313,Dior Capture Totale Firming  and  WrinkleCorrecting Eye Cream,4.6,7,Unknown_Normal
226,10516,First Aid Beauty Ultra Repair Face Moisturizer,4.7,172,Eczema; Psoriasis; Unknown_Normal
227,70783,AMOREPACIFIC Vintage Single Extract Essence,4.7,28,Unknown_Normal
228,24268,Peter Thomas Roth Pumpkin Enzyme Mask,4.9,68,Unknown_Normal
229,16989,Odacité Pa  G PapayaGeranium Hyperpigmentation Facial Serum Concentrate,3.0,6,Unknown_Normal
230,10517,Kate Somerville EradiKate Acne Treatment,4.6,104,Acne
231,15371,True Botanicals Pure Radiance Sugar Scrub,0.0,0,Unknown_Normal
232,11730,Fresh Skin Care Discovery Set USD 41 Value,0.0,0,Unknown_Normal
233,15371,Erno Laszlo Sea Mud Deep Cleansing Bar,2.9,7,Unknown_Normal
234,26292,Kate Somerville Face the Glow Kit USD 114 value,4.6,54,Unknown_Normal
235,24270,By Terry Baume de Rose,4.2,569,Unknown_Normal
236,20225,patchology Set of 30 Pairs FlashPatch Rejuvenating Eye Gels,4.3,27,Acne; Sun_Sunlight_Damage
237,18607,Odacité Bu  L BuritiLime Sagging Skin Facial Serum Concentrate,4.3,6,Unknown_Normal
238,13753,Youth to the People With Pride Travel Size Skin Care Set,4.0,2,Unknown_Normal
239,53393,Tata Harper Skincare Retinoic Nutrient Face Oil,4.5,36,Unknown_Normal
240,10112,Fresh Sugar Face Polish,4.7,475,Unknown_Normal
241,19416,Peter Thomas Roth FIRMx Peeling Gel,4.9,92,Acne; Actinic_Keratosis
242,29124,Pause Collagen Boosting Moisturizer,5.0,8,Eczema; Psoriasis
243,64719,Bioeffect EGF Face Serum,3.8,49,Unknown_Normal
244,56225,DERMAFLASH ONE Lilac Exfoliation  and  Peach Fuzz Removal Device,3.2,24,Unknown_Normal
245,101124,ReFa CARAT Ray Face Roller,4.0,2,Unknown_Normal
246,26292,Dior Capture Totale HighPerformance Treatment SerumLotion,4.7,7,Acne; Unknown_Normal
247,40450,Erno Laszlo AHA Resurfacing Sleep Serum,4.8,74,Actinic_Keratosis; Unknown_Normal
248,24270,Dr Loretta Micro Peel Peptide Pads,5.0,6,Unknown_Normal
249,39641,Perricone MD Essential Fx AcylGlutathione Rejuvenating Moisturizer,4.5,181,Eczema; Psoriasis; Sun_Sunlight_Damage
250,23461,Sulwhasoo Essential Balancing Water,4.8,36,Unknown_Normal
251,30337,Dr Barbara Sturm Enzyme Cleanser,4.7,47,Acne
252,10112,Jack Black Eye Balm DePuffing  and  Cooling Gel,4.8,17,Acne
253,31955,CAUDALÍE Vinoperfect Radiance Serum,4.0,398,Unknown_Normal
254,26292,Lancôme Visionnaire Skin Solutions 15 Vitamin C Correcting Concentrate Serum,4.6,58,Unknown_Normal
255,26292,Lancôme Visionnaire Yeux Eye on Correction Advanced MultiCorrecting Eye Balm,4.3,132,Unknown_Normal
256,29124,Lancôme High Résolution Refill3X AntiWrinkle Eye Cream,4.4,109,Unknown_Normal
257,26292,Charlotte Tilbury Charlottes Magic Skin Secrets Travel Size Set USD 98 Value,4.0,2,Unknown_Normal
258,80090,Chantecaille Stress Repair Concentrate Eye Cream,5.0,1,Unknown_Normal
259,35596,Erno Laszlo Luxury Size Hydraphel Skin Supplement Hydrating Toner USD 122 Value,4.7,3,Eczema; Vitiligo
260,13753,TULA Skincare Super Calm Gentle Milk Cleanser,5.0,5,Acne; Eczema; Unknown_Normal
261,16180,Sulwhasoo Gentle Cleansing Oil,4.9,19,Eczema; Unknown_Normal
262,9708,Fresh Sugar Mint Rush Freshening Lip Treatment,4.7,110,Acne
263,16180,Kiehls Since 1851 Youth Dose Eye Treatment Cream,3.8,143,Acne; Unknown_Normal
264,35596,Tata Harper Skincare Resurfacing Serum,5.0,3,Unknown_Normal
265,50562,Omorovicza Miracle Facial Oil,4.7,59,Unknown_Normal
266,12539,Lancôme Tonique Confort Comforting Rehydrating Toner,4.8,790,Eczema; Vitiligo
267,11326,Pause 4in1 Micellar Cleansing Treatment,5.0,4,Acne
268,12944,COOLA Suncare Fragrance Free Classic Face Organic Sunscreen Lotion SPF 50,4.7,195,Sun_Sunlight_Damage; Bullous; Unknown_Normal
269,39641,Kate Somerville Retinol Vita C Power Serum,3.6,7,Actinic_Keratosis; Unknown_Normal
270,23865,Murad Youth Renewal Retinol Discovery Set USD 98 Value,0.0,0,Actinic_Keratosis
271,19820,REN Clean Skincare Overnight Glow Dark Spot Sleeping Cream,3.8,106,Acne; Moles; Unknown_Normal
272,129439,ReFa CARAT Ray Face  and  Body Roller,0.0,0,Unknown_Normal
273,36000,Omorovicza Silver Skin Tonic,4.1,14,Unknown_Normal
274,121349,ReFa CLEAR Facial Cleansing Brush,5.0,1,Unknown_Normal
275,33169,Tata Harper Skincare Nourishing Oil Cleanser,4.5,21,Acne
276,21034,ARCONA Peptide Eye Serum Depuffing Eye Gel,4.7,22,Acne; Unknown_Normal
277,18202,Mario Badescu Vitamin C Serum,4.5,111,Unknown_Normal
278,19820,Elemis Dynamic Resurfacing Facial Wash,4.7,338,Unknown_Normal
